period,interest_rate_pct,source_code
2020-10,2.28,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2020-11,2.26,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2020-12,2.21,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-01,2.2,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-02,2.25,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-03,2.19,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-04,2.18,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-05,2.2,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-06,2.21,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-07,2.18,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-08,2.15,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-09,2.13,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-10,2.08,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-11,2.06,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2021-12,2.04,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-01,2.05,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-02,2.04,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-03,2.02,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-04,2.05,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-05,2.06,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-06,2.17,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-07,2.46,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-08,2.74,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-09,3.46,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-10,3.84,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-11,4.09,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2022-12,4.34,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-01,4.6,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-02,4.87,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-03,5.03,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-04,5.28,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-05,5.39,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-06,5.58,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-07,5.7,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-08,5.75,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-09,5.8,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-10,5.89,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-11,5.85,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2023-12,5.63,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-01,5.71,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-02,5.73,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
